DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	Salinity	Temperature	Pressure	Oxygen	CAST TYPE	CAST NO	NISKIN	DNA VOLUME FILT [mL]	comments	DNA.concentration.ng.uL	Eukaryotic_Fraction_from_Trimmed_Sequences_(18S/16S+18S)	plasFrac
I8S-S60-N03	I8S	60	B	20070305T00:00	95.0097	-42.512	34.7731	10.0268	492.2	250.7	TRACE METAL	1	3	2200		4.97075803627721	0.02059366	0.00184367951105657
I8S-S60-N05	I8S	60	B	20070305T00:00	95.0097	-42.512	34.7796	10.479	242.2	255.5	TRACE METAL	1	5	2200		7.31466460087175	0.03843171	0.001307942768742
I8S-S60-N08	I8S	60	B	20070305T00:00	95.0097	-42.512	34.8434	11.253	107.4	258.1	TRACE METAL	1	8	2200		12.660953183792	0.0438441	0.028492749518082
I8S-S60-N11	I8S	60	B	20070305T00:00	95.0097	-42.512	34.751	13.3872	42.3	264.3	TRACE METAL	1	11	1300		36.03816204469	0.06222119	0.0957828243377642
I8S-S60-N12	I8S	60	B	20070305T00:00	95.0097	-42.512	34.7509	13.4121	20.5	264.1	TRACE METAL	1	12	1200		37.4801567756891	0.06212067	0.0896743453203703
I8S-S70-N01	I8S	70	B	20070308T00:00	94.9892	-37.494	34.3437	4.318	1020.9	205.2	TRACE METAL	1	1	1400	PART SPILLED	1.39851230478068	0.00194987	0.00123229731040762
I8S-S70-N03	I8S	70	B	20070308T00:00	94.9892	-37.494	34.5656	8.2826	709.3	220.8	TRACE METAL	1	3	2000		3.7959619340101	0.06480492	0.000290012661306519
I8S-S70-N05	I8S	70	B	20070308T00:00	94.9892	-37.494	34.9105	11.011	306.1	250	TRACE METAL	1	5	2000		5.80668537107073	0.00449281	0.000755100876653409
I8S-S70-N08	I8S	70	B	20070308T00:00	94.9892	-37.494	35.2768	13.1159	103.2	245.3	TRACE METAL	1	8	2000		11.1981034618945	0.03706856	0.0264784323894615
I8S-S70-N11	I8S	70	B	20070308T00:00	94.9892	-37.494	35.0806	16.2516	37.2	246.8	TRACE METAL	1	11	1300		33.1410234342171	0.02276228	0.0396008814025461
I8S-S70-N12	I8S	70	B	20070308T00:00	94.9892	-37.494	35.0806	16.2525	20.8	246.9	TRACE METAL	1	12	1100		35.1549063989915	0.02287722	0.040403290771537
I8S-S88-N01	I8S	88	B	20070313T00:00	95.0083	-28.318	34.4328	4.2449	1012.9	174.2	TRACE METAL	2	1	2200		1.35427891678752	0.03417172	0.00134122889833355
I8S-S88-N03	I8S	88	B	20070313T00:00	95.0083	-28.318	34.746	9.7288	507.4	242.2	TRACE METAL	2	3	2200		2.8746436526668	0.05181741	0.000662711239901187
I8S-S88-N05	I8S	88	B	20070313T00:00	95.0083	-28.318	35.2686	13.3425	223.2	237.8	TRACE METAL	2	5	2200		7.27649766352925	0.05440998	0.00884333159935848
I8S-S88-N08	I8S	88	B	20070313T00:00	95.0083	-28.318	35.8432	17.6698	103.5	239.9	TRACE METAL	2	8	2045		17.6624971643239	0.02310175	0.0301999561059037
I8S-S88-N11	I8S	88	B	20070313T00:00	95.0083	-28.318	36.1203	22.3876	33.2	219.4	TRACE METAL	2	11	2200		9.07426893267994	0.03335422	0.0212017232486427
I8S-S88-N12	I8S	88	B	20070313T00:00	95.0083	-28.318	36.1187	22.3871	20.8	219.9	TRACE METAL	2	12	2060		12.7639653968525	0.0238448	0.0215491590925144
